lag_1,lag_7,lag_14,lag_30,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_std_14,year,day,month,day_of_week,week_of_year,arrival_lag_1,arrival_lag_7,arrival_rolling_mean_7,arrival_rolling_mean_14,arrival_pct_change,volatility
9000.0,8000.0,10000.0,12000.0,9000.0,9214.285714285714,10066.666666666666,999.9999999999974,1251.372872462105,2002,10,7,2,28,0.02,0.04,0.03428571428571429,0.03214285714285715,49.999999999999986,LOW
9000.0,8000.0,12000.0,12000.0,9142.857142857143,9142.857142857143,9966.666666666666,899.7354108424356,1231.455852429761,2002,11,7,3,28,0.03,0.04,0.032857142857142856,0.03214285714285715,-33.33333333333333,LOW
9000.0,10000.0,10000.0,12000.0,9285.714285714286,8928.57142857143,9866.666666666666,755.9289460184535,916.8747682531842,2002,12,7,4,28,0.02,0.03,0.030000000000000002,0.03142857142857143,0.0,HIGH
8000.0,10000.0,10000.0,12000.0,9000.0,8785.714285714286,9733.333333333334,816.4965809277231,892.5823753039735,2002,15,7,0,29,0.02,0.04,0.02857142857142857,0.03142857142857143,49.999999999999986,HIGH
9000.0,8000.0,8000.0,12000.0,8857.142857142857,8714.285714285714,9633.333333333334,690.0655593423494,825.4203058555483,2002,16,7,1,29,0.03,0.05,0.027142857142857142,0.03142857142857143,-33.33333333333333,HIGH
8000.0,10000.0,8000.0,12000.0,8857.142857142857,8714.285714285714,9500.0,690.0655593423494,825.4203058555483,2002,18,7,3,29,0.02,0.02,0.022857142857142857,0.030714285714285715,0.0,LOW
8000.0,9000.0,8000.0,12000.0,8571.42857142857,8714.285714285714,9366.666666666666,534.5224838248392,825.4203058555483,2002,19,7,4,29,0.02,0.02,0.022857142857142857,0.029285714285714286,49.999999999999986,HIGH
9000.0,9000.0,8000.0,9000.0,8571.42857142857,8785.714285714286,9266.666666666666,534.5224838248392,801.7837257372651,2002,20,7,5,29,0.03,0.03,0.02428571428571429,0.029285714285714286,33.33333333333334,HIGH
8000.0,9000.0,8000.0,9000.0,8428.57142857143,8785.714285714286,9233.333333333334,534.5224838248378,801.7837257372652,2002,22,7,0,30,0.04,0.02,0.025714285714285717,0.029285714285714286,-50.0,LOW
8000.0,8000.0,10000.0,10000.0,8285.714285714286,8785.714285714286,9200.0,487.950036474253,801.7837257372652,2002,23,7,1,30,0.02,0.02,0.025714285714285714,0.027857142857142858,-50.0,LOW
8000.0,9000.0,10000.0,9000.0,8285.714285714286,8642.857142857143,9133.333333333334,487.950036474253,744.9463436684811,2002,24,7,2,30,0.01,0.03,0.02428571428571429,0.02642857142857143,0.0,HIGH
10000.0,8000.0,8000.0,10000.0,8428.57142857143,8642.857142857143,9166.666666666666,786.7957924694357,744.9463436684811,2002,25,7,3,30,0.01,0.02,0.021428571428571432,0.024285714285714282,100.0,HIGH
9000.0,8000.0,10000.0,10000.0,8571.42857142857,8714.285714285714,9133.333333333334,786.7957924694368,726.2730392025529,2002,26,7,4,30,0.02,0.02,0.02142857142857143,0.02214285714285714,49.999999999999986,HIGH
10000.0,9000.0,9000.0,10000.0,8857.142857142857,8714.285714285714,9133.333333333334,899.7354108424338,726.2730392025529,2002,27,7,5,30,0.03,0.03,0.022857142857142857,0.022857142857142854,33.33333333333334,LOW
