State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-14,2008,8,14,3,33,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-14,2008,8,14,3,33,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-08-16,2008,8,16,5,33,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-18,2008,8,18,0,34,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-18,2008,8,18,0,34,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-19,2008,8,19,1,34,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-19,2008,8,19,1,34,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-20,2008,8,20,2,34,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-20,2008,8,20,2,34,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-21,2008,8,21,3,34,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-08-21,2008,8,21,3,34,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-21,2008,8,21,3,34,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-22,2008,8,22,4,34,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-22,2008,8,22,4,34,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-08-23,2008,8,23,5,34,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-08-23,2008,8,23,5,34,3,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-08-25,2008,8,25,0,35,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-08-25,2008,8,25,0,35,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-08-25,2008,8,25,0,35,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-26,2008,8,26,1,35,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-26,2008,8,26,1,35,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-27,2008,8,27,2,35,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-27,2008,8,27,2,35,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-08-27,2008,8,27,2,35,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-28,2008,8,28,3,35,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-28,2008,8,28,3,35,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-08-29,2008,8,29,4,35,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-08-29,2008,8,29,4,35,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-08-30,2008,8,30,5,35,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-01,2008,9,1,0,36,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-01,2008,9,1,0,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-02,2008,9,2,1,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-02,2008,9,2,1,36,3,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,8500,11000,9000,2008-09-03,2008,9,3,2,36,3,2500,1.0588235294117647
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-03,2008,9,3,2,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-03,2008,9,3,2,36,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-04,2008,9,4,3,36,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-04,2008,9,4,3,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-05,2008,9,5,4,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-05,2008,9,5,4,36,3,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-06,2008,9,6,5,36,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-06,2008,9,6,5,36,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-06,2008,9,6,5,36,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-09-08,2008,9,8,0,37,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-09-08,2008,9,8,0,37,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-09,2008,9,9,1,37,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-09,2008,9,9,1,37,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-10,2008,9,10,2,37,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-10,2008,9,10,2,37,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-10,2008,9,10,2,37,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-12,2008,9,12,4,37,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-12,2008,9,12,4,37,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-13,2008,9,13,5,37,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-13,2008,9,13,5,37,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-15,2008,9,15,0,38,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-15,2008,9,15,0,38,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-15,2008,9,15,0,38,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-16,2008,9,16,1,38,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-16,2008,9,16,1,38,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-17,2008,9,17,2,38,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-17,2008,9,17,2,38,3,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-17,2008,9,17,2,38,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-18,2008,9,18,3,38,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-18,2008,9,18,3,38,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-19,2008,9,19,4,38,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-19,2008,9,19,4,38,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-20,2008,9,20,5,38,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-22,2008,9,22,0,39,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-22,2008,9,22,0,39,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-23,2008,9,23,1,39,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-23,2008,9,23,1,39,3,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-24,2008,9,24,2,39,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-24,2008,9,24,2,39,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-24,2008,9,24,2,39,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-25,2008,9,25,3,39,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-25,2008,9,25,3,39,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-26,2008,9,26,4,39,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-26,2008,9,26,4,39,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-27,2008,9,27,5,39,3,500,1.037037037037037
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-09-27,2008,9,27,5,39,3,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-27,2008,9,27,5,39,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-29,2008,9,29,0,40,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-29,2008,9,29,0,40,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-09-30,2008,9,30,1,40,3,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-09-30,2008,9,30,1,40,3,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-03,2008,10,3,4,40,4,500,1.0344827586206897
Kerala,Malappuram,Manjeri,Beverages,1.0,9000,11200,9500,2008-10-03,2008,10,3,4,40,4,2200,1.0555555555555556
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-03,2008,10,3,4,40,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-04,2008,10,4,5,40,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-04,2008,10,4,5,40,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14000,15000,15000,2008-10-10,2008,10,10,4,41,4,1000,1.0714285714285714
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13000,14000,14000,2008-10-10,2008,10,10,4,41,4,1000,1.0769230769230769
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-11,2008,10,11,5,41,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-11,2008,10,11,5,41,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-10-13,2008,10,13,0,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-10-13,2008,10,13,0,42,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,13500,14000,14000,2008-10-14,2008,10,14,1,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-14,2008,10,14,1,42,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-10-15,2008,10,15,2,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-10-15,2008,10,15,2,42,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.06,13500,14000,14000,2008-10-16,2008,10,16,3,42,4,500,1.037037037037037
Jharkhand,Deogarh,Madhupur,Beverages,0.06,14500,15000,15000,2008-10-16,2008,10,16,3,42,4,500,1.0344827586206897
Jharkhand,Deogarh,Madhupur,Beverages,0.05,14500,15000,15000,2008-10-17,2008,10,17,4,42,4,500,1.0344827586206897
