State Name,District Name,Market Name,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,Price_Spread,Price_Ratio,Arrival_Lag_1,Arrival_Lag_3,Arrival_Lag_7,Price_Lag_1,Price_Lag_3,Price_Lag_7,Arrival_RollMean_7,Price_RollMean_7,Arrival_RollMean_14,Price_RollMean_14,Arrival_RollMean_30,Price_RollMean_30,Price_Volatility_14,Arrival_Volatility_14,Log_Arrivals,Log_Modal_Price,Price_Change,Price_Pct_Change,Arrival_Change,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Year_Trend,Is_Weekend,State Name_Encoded,District Name_Encoded,Market Name_Encoded
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-19,2015,6,19,4,25,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,13,0,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-20,2015,6,20,5,25,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,13,1,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-21,2015,6,21,6,25,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,13,1,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-22,2015,6,22,0,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,13,0,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-24,2015,6,24,2,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,13,0,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-25,2015,6,25,3,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,13,0,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-26,2015,6,26,4,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,13,0,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-27,2015,6,27,5,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,13,1,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-28,2015,6,28,6,26,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,13,1,6,0,0
Telangana,Adilabad,Adilabad(Rythu Bazar),Beverages,0.01,26000,26000,26000,2015-06-29,2015,6,29,0,27,2,0,1.0,0.01,0.01,0.01,26000.0,26000.0,26000.0,0.01,26000.0,0.01,26000.0,0.01,26000.0,0.0,0.0,0.009950330853168083,10.165890277802454,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0,1.0,13,0,6,0,0
