State Name,District Name,Market Name,Variety,Reported Date,Modal Price (Rs./Quintal),future_modal_price,random_forest_prediction,xgboost_prediction,baseline_error,random_forest_error,xgboost_error,baseline_abs_error,random_forest_abs_error,xgboost_abs_error,actual_price_change,actual_price_change_pct
Kerala,Malappuram,Parappanangadi,Other,2013-08-17,13000,11000.0,12795.333333333334,12885.591,-2000.0,-1795.333333333334,-1885.5908203125,2000.0,1795.333333333334,1885.5908203125,-2000.0,-15.384615384615385
Jharkhand,Deogarh,Madhupur,Assam C.T.C. Leaf,2013-08-17,26000,26000.0,25946.666666666668,25949.855,0.0,53.33333333333212,50.14453125,0.0,53.33333333333212,50.14453125,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-19,11000,12000.0,11880.0,12034.449,1000.0,120.0,-34.44921875,1000.0,120.0,34.44921875,1000.0,9.090909090909092
Kerala,Malappuram,Thirurrangadi,Other,2013-08-19,12000,12000.0,12597.666666666666,12659.627,0.0,-597.6666666666661,-659.626953125,0.0,597.6666666666661,659.626953125,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-19,15500,15500.0,15500.0,15499.106,0.0,0.0,0.8935546875,0.0,0.0,0.8935546875,0.0,0.0
Jharkhand,Dhanbad,Dhanbad,Other,2013-08-19,23000,23000.0,23006.666666666668,23000.871,0.0,-6.666666666667879,-0.87109375,0.0,6.666666666667879,0.87109375,0.0,0.0
Kerala,Malappuram,Parappanangadi,Other,2013-08-20,12000,11500.0,12376.333333333334,12302.646,-500.0,-876.3333333333339,-802.646484375,500.0,876.3333333333339,802.646484375,-500.0,-4.166666666666666
Kerala,Malappuram,Thirurrangadi,Other,2013-08-20,12000,13000.0,12506.333333333334,12478.536,1000.0,493.66666666666606,521.4638671875,1000.0,493.66666666666606,521.4638671875,1000.0,8.333333333333332
Kerala,Malappuram,Manjeri,Other,2013-08-20,15500,15500.0,15500.0,15496.587,0.0,0.0,3.4130859375,0.0,0.0,3.4130859375,0.0,0.0
Kerala,Malappuram,Manjeri,Other,2013-08-21,15500,15500.0,15500.0,15492.943,0.0,0.0,7.056640625,0.0,0.0,7.056640625,0.0,0.0
